[epoch 1]  train_loss: 1.426  val_accuracy: 0.333  train_time: 325.87 s
[epoch 2]  train_loss: 1.328  val_accuracy: 0.430  train_time: 309.94 s
[epoch 3]  train_loss: 1.318  val_accuracy: 0.463  train_time: 308.82 s
[epoch 4]  train_loss: 1.293  val_accuracy: 0.483  train_time: 311.74 s
[epoch 5]  train_loss: 1.265  val_accuracy: 0.492  train_time: 307.89 s
[epoch 6]  train_loss: 1.323  val_accuracy: 0.452  train_time: 311.16 s
[epoch 7]  train_loss: 1.243  val_accuracy: 0.512  train_time: 315.87 s
[epoch 8]  train_loss: 1.290  val_accuracy: 0.489  train_time: 315.75 s
[epoch 9]  train_loss: 1.226  val_accuracy: 0.548  train_time: 316.58 s
[epoch 10]  train_loss: 1.249  val_accuracy: 0.542  train_time: 315.00 s
[epoch 11]  train_loss: 1.203  val_accuracy: 0.531  train_time: 316.27 s
[epoch 12]  train_loss: 1.169  val_accuracy: 0.592  train_time: 316.53 s
[epoch 13]  train_loss: 1.134  val_accuracy: 0.457  train_time: 318.01 s
[epoch 14]  train_loss: 1.115  val_accuracy: 0.619  train_time: 316.44 s
[epoch 15]  train_loss: 1.100  val_accuracy: 0.508  train_time: 314.40 s
[epoch 16]  train_loss: 1.046  val_accuracy: 0.651  train_time: 314.15 s
[epoch 17]  train_loss: 1.018  val_accuracy: 0.624  train_time: 315.68 s
[epoch 18]  train_loss: 1.003  val_accuracy: 0.705  train_time: 315.05 s
[epoch 19]  train_loss: 1.020  val_accuracy: 0.651  train_time: 315.18 s
[epoch 20]  train_loss: 0.972  val_accuracy: 0.692  train_time: 315.22 s
[epoch 21]  train_loss: 0.950  val_accuracy: 0.715  train_time: 315.68 s
[epoch 22]  train_loss: 0.955  val_accuracy: 0.681  train_time: 314.39 s
[epoch 23]  train_loss: 0.972  val_accuracy: 0.708  train_time: 315.10 s
[epoch 24]  train_loss: 0.905  val_accuracy: 0.740  train_time: 315.72 s
[epoch 25]  train_loss: 0.926  val_accuracy: 0.734  train_time: 315.08 s
[epoch 26]  train_loss: 0.878  val_accuracy: 0.625  train_time: 315.64 s
[epoch 27]  train_loss: 0.961  val_accuracy: 0.758  train_time: 315.89 s
[epoch 28]  train_loss: 0.895  val_accuracy: 0.707  train_time: 316.41 s
[epoch 29]  train_loss: 0.919  val_accuracy: 0.726  train_time: 317.65 s
[epoch 30]  train_loss: 0.912  val_accuracy: 0.732  train_time: 316.73 s
