[epoch 1]  train_loss: 1.079  val_accuracy: 0.808  train_time: 70.14 s
[epoch 2]  train_loss: 0.812  val_accuracy: 0.828  train_time: 62.48 s
[epoch 3]  train_loss: 0.708  val_accuracy: 0.854  train_time: 64.77 s
[epoch 4]  train_loss: 0.659  val_accuracy: 0.900  train_time: 63.27 s
[epoch 5]  train_loss: 0.625  val_accuracy: 0.889  train_time: 62.65 s
[epoch 6]  train_loss: 0.587  val_accuracy: 0.927  train_time: 63.26 s
[epoch 7]  train_loss: 0.567  val_accuracy: 0.904  train_time: 62.70 s
[epoch 8]  train_loss: 0.553  val_accuracy: 0.927  train_time: 63.60 s
[epoch 9]  train_loss: 0.572  val_accuracy: 0.923  train_time: 63.13 s
[epoch 10]  train_loss: 0.558  val_accuracy: 0.889  train_time: 62.33 s
[epoch 11]  train_loss: 0.523  val_accuracy: 0.885  train_time: 63.29 s
[epoch 12]  train_loss: 0.527  val_accuracy: 0.916  train_time: 63.58 s
[epoch 13]  train_loss: 0.529  val_accuracy: 0.885  train_time: 63.25 s
[epoch 14]  train_loss: 0.516  val_accuracy: 0.908  train_time: 62.75 s
[epoch 15]  train_loss: 0.531  val_accuracy: 0.939  train_time: 62.96 s
[epoch 16]  train_loss: 0.526  val_accuracy: 0.935  train_time: 62.88 s
[epoch 17]  train_loss: 0.504  val_accuracy: 0.927  train_time: 63.31 s
[epoch 18]  train_loss: 0.477  val_accuracy: 0.935  train_time: 64.62 s
[epoch 19]  train_loss: 0.509  val_accuracy: 0.927  train_time: 62.43 s
[epoch 20]  train_loss: 0.470  val_accuracy: 0.935  train_time: 62.45 s
[epoch 21]  train_loss: 0.472  val_accuracy: 0.943  train_time: 62.85 s
[epoch 22]  train_loss: 0.483  val_accuracy: 0.946  train_time: 63.09 s
[epoch 23]  train_loss: 0.454  val_accuracy: 0.927  train_time: 64.02 s
[epoch 24]  train_loss: 0.469  val_accuracy: 0.920  train_time: 62.88 s
[epoch 25]  train_loss: 0.436  val_accuracy: 0.939  train_time: 62.83 s
[epoch 26]  train_loss: 0.448  val_accuracy: 0.931  train_time: 62.46 s
[epoch 27]  train_loss: 0.457  val_accuracy: 0.931  train_time: 63.34 s
[epoch 28]  train_loss: 0.421  val_accuracy: 0.931  train_time: 62.53 s
[epoch 29]  train_loss: 0.465  val_accuracy: 0.943  train_time: 63.24 s
[epoch 30]  train_loss: 0.454  val_accuracy: 0.927  train_time: 63.90 s
[epoch 31]  train_loss: 0.440  val_accuracy: 0.931  train_time: 63.59 s
[epoch 32]  train_loss: 0.419  val_accuracy: 0.943  train_time: 64.56 s
[epoch 33]  train_loss: 0.442  val_accuracy: 0.958  train_time: 65.36 s
[epoch 34]  train_loss: 0.453  val_accuracy: 0.958  train_time: 63.91 s
[epoch 35]  train_loss: 0.441  val_accuracy: 0.920  train_time: 63.70 s
[epoch 36]  train_loss: 0.438  val_accuracy: 0.966  train_time: 64.51 s
[epoch 37]  train_loss: 0.445  val_accuracy: 0.950  train_time: 63.64 s
[epoch 38]  train_loss: 0.415  val_accuracy: 0.958  train_time: 65.28 s
[epoch 39]  train_loss: 0.435  val_accuracy: 0.950  train_time: 65.49 s
[epoch 40]  train_loss: 0.446  val_accuracy: 0.881  train_time: 64.80 s
[epoch 41]  train_loss: 0.449  val_accuracy: 0.927  train_time: 64.21 s
[epoch 42]  train_loss: 0.447  val_accuracy: 0.935  train_time: 63.42 s
[epoch 43]  train_loss: 0.441  val_accuracy: 0.946  train_time: 63.03 s
[epoch 44]  train_loss: 0.387  val_accuracy: 0.931  train_time: 63.35 s
[epoch 45]  train_loss: 0.396  val_accuracy: 0.946  train_time: 64.55 s
[epoch 46]  train_loss: 0.406  val_accuracy: 0.958  train_time: 65.03 s
[epoch 47]  train_loss: 0.398  val_accuracy: 0.950  train_time: 63.15 s
[epoch 48]  train_loss: 0.439  val_accuracy: 0.954  train_time: 63.26 s
[epoch 49]  train_loss: 0.403  val_accuracy: 0.935  train_time: 64.90 s
[epoch 50]  train_loss: 0.383  val_accuracy: 0.950  train_time: 63.50 s
[epoch 51]  train_loss: 0.437  val_accuracy: 0.931  train_time: 63.31 s
[epoch 52]  train_loss: 0.427  val_accuracy: 0.950  train_time: 64.15 s
[epoch 53]  train_loss: 0.439  val_accuracy: 0.935  train_time: 63.05 s
[epoch 54]  train_loss: 0.399  val_accuracy: 0.966  train_time: 64.45 s
[epoch 55]  train_loss: 0.369  val_accuracy: 0.958  train_time: 63.76 s
[epoch 56]  train_loss: 0.374  val_accuracy: 0.958  train_time: 63.26 s
[epoch 57]  train_loss: 0.402  val_accuracy: 0.962  train_time: 63.13 s
[epoch 58]  train_loss: 0.388  val_accuracy: 0.950  train_time: 63.81 s
[epoch 59]  train_loss: 0.391  val_accuracy: 0.927  train_time: 63.48 s
[epoch 60]  train_loss: 0.449  val_accuracy: 0.950  train_time: 64.37 s
[epoch 61]  train_loss: 0.411  val_accuracy: 0.943  train_time: 64.08 s
[epoch 62]  train_loss: 0.396  val_accuracy: 0.946  train_time: 63.29 s
[epoch 63]  train_loss: 0.396  val_accuracy: 0.950  train_time: 63.86 s
[epoch 64]  train_loss: 0.376  val_accuracy: 0.950  train_time: 65.60 s
[epoch 65]  train_loss: 0.366  val_accuracy: 0.943  train_time: 62.85 s
[epoch 66]  train_loss: 0.368  val_accuracy: 0.950  train_time: 63.55 s
[epoch 67]  train_loss: 0.338  val_accuracy: 0.931  train_time: 63.16 s
[epoch 68]  train_loss: 0.342  val_accuracy: 0.931  train_time: 63.72 s
[epoch 69]  train_loss: 0.374  val_accuracy: 0.962  train_time: 65.12 s
[epoch 70]  train_loss: 0.384  val_accuracy: 0.962  train_time: 64.16 s
[epoch 71]  train_loss: 0.370  val_accuracy: 0.958  train_time: 63.75 s
[epoch 72]  train_loss: 0.339  val_accuracy: 0.935  train_time: 63.79 s
[epoch 73]  train_loss: 0.360  val_accuracy: 0.935  train_time: 63.59 s
[epoch 74]  train_loss: 0.374  val_accuracy: 0.969  train_time: 63.97 s
[epoch 75]  train_loss: 0.350  val_accuracy: 0.950  train_time: 63.81 s
[epoch 76]  train_loss: 0.395  val_accuracy: 0.958  train_time: 64.13 s
[epoch 77]  train_loss: 0.397  val_accuracy: 0.923  train_time: 63.67 s
[epoch 78]  train_loss: 0.380  val_accuracy: 0.931  train_time: 63.13 s
[epoch 79]  train_loss: 0.372  val_accuracy: 0.931  train_time: 65.53 s
[epoch 80]  train_loss: 0.368  val_accuracy: 0.950  train_time: 63.85 s
[epoch 81]  train_loss: 0.341  val_accuracy: 0.950  train_time: 64.20 s
[epoch 82]  train_loss: 0.338  val_accuracy: 0.954  train_time: 64.33 s
[epoch 83]  train_loss: 0.344  val_accuracy: 0.946  train_time: 64.12 s
[epoch 84]  train_loss: 0.344  val_accuracy: 0.931  train_time: 63.80 s
[epoch 85]  train_loss: 0.341  val_accuracy: 0.931  train_time: 65.15 s
[epoch 86]  train_loss: 0.404  val_accuracy: 0.958  train_time: 63.11 s
[epoch 87]  train_loss: 0.356  val_accuracy: 0.943  train_time: 64.34 s
[epoch 88]  train_loss: 0.325  val_accuracy: 0.950  train_time: 63.78 s
[epoch 89]  train_loss: 0.343  val_accuracy: 0.939  train_time: 64.53 s
[epoch 90]  train_loss: 0.341  val_accuracy: 0.943  train_time: 63.43 s
[epoch 91]  train_loss: 0.322  val_accuracy: 0.943  train_time: 63.82 s
[epoch 92]  train_loss: 0.340  val_accuracy: 0.931  train_time: 64.04 s
[epoch 93]  train_loss: 0.301  val_accuracy: 0.927  train_time: 64.11 s
[epoch 94]  train_loss: 0.367  val_accuracy: 0.950  train_time: 63.41 s
[epoch 95]  train_loss: 0.316  val_accuracy: 0.950  train_time: 65.06 s
[epoch 96]  train_loss: 0.334  val_accuracy: 0.943  train_time: 63.71 s
[epoch 97]  train_loss: 0.346  val_accuracy: 0.923  train_time: 64.18 s
[epoch 98]  train_loss: 0.330  val_accuracy: 0.943  train_time: 64.12 s
[epoch 99]  train_loss: 0.343  val_accuracy: 0.939  train_time: 63.93 s
[epoch 100]  train_loss: 0.368  val_accuracy: 0.935  train_time: 65.12 s
[epoch 101]  train_loss: 0.310  val_accuracy: 0.946  train_time: 63.70 s
[epoch 102]  train_loss: 0.289  val_accuracy: 0.943  train_time: 64.17 s
[epoch 103]  train_loss: 0.305  val_accuracy: 0.950  train_time: 64.17 s
[epoch 104]  train_loss: 0.323  val_accuracy: 0.943  train_time: 64.54 s
[epoch 105]  train_loss: 0.328  val_accuracy: 0.923  train_time: 64.49 s
[epoch 106]  train_loss: 0.313  val_accuracy: 0.935  train_time: 64.52 s
[epoch 107]  train_loss: 0.311  val_accuracy: 0.935  train_time: 64.58 s
[epoch 108]  train_loss: 0.317  val_accuracy: 0.916  train_time: 65.46 s
[epoch 109]  train_loss: 0.314  val_accuracy: 0.943  train_time: 64.60 s
[epoch 110]  train_loss: 0.295  val_accuracy: 0.923  train_time: 67.86 s
[epoch 111]  train_loss: 0.304  val_accuracy: 0.943  train_time: 66.51 s
[epoch 112]  train_loss: 0.316  val_accuracy: 0.939  train_time: 65.62 s
[epoch 113]  train_loss: 0.314  val_accuracy: 0.912  train_time: 65.66 s
[epoch 114]  train_loss: 0.314  val_accuracy: 0.939  train_time: 65.64 s
[epoch 115]  train_loss: 0.321  val_accuracy: 0.958  train_time: 65.38 s
[epoch 116]  train_loss: 0.324  val_accuracy: 0.935  train_time: 66.47 s
[epoch 117]  train_loss: 0.317  val_accuracy: 0.954  train_time: 66.19 s
[epoch 118]  train_loss: 0.286  val_accuracy: 0.927  train_time: 66.31 s
[epoch 119]  train_loss: 0.341  val_accuracy: 0.946  train_time: 66.19 s
[epoch 120]  train_loss: 0.287  val_accuracy: 0.946  train_time: 67.71 s
[epoch 121]  train_loss: 0.262  val_accuracy: 0.950  train_time: 66.59 s
[epoch 122]  train_loss: 0.276  val_accuracy: 0.943  train_time: 66.32 s
[epoch 123]  train_loss: 0.332  val_accuracy: 0.927  train_time: 66.05 s
[epoch 124]  train_loss: 0.305  val_accuracy: 0.950  train_time: 66.92 s
[epoch 125]  train_loss: 0.281  val_accuracy: 0.946  train_time: 66.27 s
[epoch 126]  train_loss: 0.274  val_accuracy: 0.927  train_time: 66.42 s
[epoch 127]  train_loss: 0.260  val_accuracy: 0.946  train_time: 66.61 s
[epoch 128]  train_loss: 0.287  val_accuracy: 0.939  train_time: 66.35 s
[epoch 129]  train_loss: 0.279  val_accuracy: 0.954  train_time: 66.25 s
[epoch 130]  train_loss: 0.279  val_accuracy: 0.943  train_time: 66.78 s
[epoch 131]  train_loss: 0.271  val_accuracy: 0.943  train_time: 66.38 s
[epoch 132]  train_loss: 0.262  val_accuracy: 0.927  train_time: 67.02 s
[epoch 133]  train_loss: 0.297  val_accuracy: 0.939  train_time: 66.37 s
[epoch 134]  train_loss: 0.299  val_accuracy: 0.939  train_time: 66.57 s
[epoch 135]  train_loss: 0.283  val_accuracy: 0.931  train_time: 66.27 s
[epoch 136]  train_loss: 0.281  val_accuracy: 0.943  train_time: 66.16 s
[epoch 137]  train_loss: 0.285  val_accuracy: 0.920  train_time: 66.37 s
[epoch 138]  train_loss: 0.258  val_accuracy: 0.916  train_time: 66.89 s
[epoch 139]  train_loss: 0.264  val_accuracy: 0.923  train_time: 66.02 s
[epoch 140]  train_loss: 0.272  val_accuracy: 0.927  train_time: 67.14 s
[epoch 141]  train_loss: 0.272  val_accuracy: 0.916  train_time: 66.04 s
[epoch 142]  train_loss: 0.267  val_accuracy: 0.939  train_time: 66.06 s
[epoch 143]  train_loss: 0.292  val_accuracy: 0.939  train_time: 66.08 s
[epoch 144]  train_loss: 0.263  val_accuracy: 0.935  train_time: 69.35 s
[epoch 145]  train_loss: 0.236  val_accuracy: 0.935  train_time: 66.94 s
[epoch 146]  train_loss: 0.284  val_accuracy: 0.908  train_time: 66.65 s
[epoch 147]  train_loss: 0.238  val_accuracy: 0.904  train_time: 66.49 s
[epoch 148]  train_loss: 0.257  val_accuracy: 0.912  train_time: 66.90 s
[epoch 149]  train_loss: 0.250  val_accuracy: 0.920  train_time: 66.50 s
[epoch 150]  train_loss: 0.261  val_accuracy: 0.900  train_time: 66.99 s
[epoch 151]  train_loss: 0.271  val_accuracy: 0.897  train_time: 66.63 s
[epoch 152]  train_loss: 0.258  val_accuracy: 0.920  train_time: 66.24 s
[epoch 153]  train_loss: 0.259  val_accuracy: 0.904  train_time: 66.55 s
[epoch 154]  train_loss: 0.257  val_accuracy: 0.912  train_time: 67.35 s
[epoch 155]  train_loss: 0.255  val_accuracy: 0.912  train_time: 66.46 s
[epoch 156]  train_loss: 0.247  val_accuracy: 0.920  train_time: 66.24 s
[epoch 157]  train_loss: 0.248  val_accuracy: 0.939  train_time: 66.66 s
[epoch 158]  train_loss: 0.250  val_accuracy: 0.931  train_time: 66.84 s
[epoch 159]  train_loss: 0.238  val_accuracy: 0.908  train_time: 66.15 s
[epoch 160]  train_loss: 0.235  val_accuracy: 0.900  train_time: 66.77 s
[epoch 161]  train_loss: 0.281  val_accuracy: 0.908  train_time: 67.30 s
[epoch 162]  train_loss: 0.308  val_accuracy: 0.897  train_time: 66.94 s
[epoch 163]  train_loss: 0.270  val_accuracy: 0.916  train_time: 66.82 s
[epoch 164]  train_loss: 0.243  val_accuracy: 0.908  train_time: 68.48 s
[epoch 165]  train_loss: 0.244  val_accuracy: 0.912  train_time: 66.76 s
[epoch 166]  train_loss: 0.242  val_accuracy: 0.920  train_time: 67.53 s
[epoch 167]  train_loss: 0.251  val_accuracy: 0.908  train_time: 67.22 s
[epoch 168]  train_loss: 0.236  val_accuracy: 0.920  train_time: 67.15 s
[epoch 169]  train_loss: 0.257  val_accuracy: 0.908  train_time: 67.17 s
[epoch 170]  train_loss: 0.249  val_accuracy: 0.912  train_time: 66.30 s
[epoch 171]  train_loss: 0.244  val_accuracy: 0.897  train_time: 67.21 s
[epoch 172]  train_loss: 0.219  val_accuracy: 0.877  train_time: 67.32 s
[epoch 173]  train_loss: 0.228  val_accuracy: 0.912  train_time: 67.01 s
[epoch 174]  train_loss: 0.262  val_accuracy: 0.920  train_time: 67.98 s
[epoch 175]  train_loss: 0.233  val_accuracy: 0.920  train_time: 67.46 s
[epoch 176]  train_loss: 0.238  val_accuracy: 0.904  train_time: 67.29 s
[epoch 177]  train_loss: 0.205  val_accuracy: 0.900  train_time: 67.53 s
[epoch 178]  train_loss: 0.213  val_accuracy: 0.927  train_time: 67.91 s
[epoch 179]  train_loss: 0.217  val_accuracy: 0.912  train_time: 67.52 s
[epoch 180]  train_loss: 0.233  val_accuracy: 0.916  train_time: 68.15 s
[epoch 181]  train_loss: 0.213  val_accuracy: 0.908  train_time: 68.44 s
[epoch 182]  train_loss: 0.224  val_accuracy: 0.889  train_time: 67.81 s
[epoch 183]  train_loss: 0.249  val_accuracy: 0.923  train_time: 68.36 s
[epoch 184]  train_loss: 0.213  val_accuracy: 0.920  train_time: 68.08 s
[epoch 185]  train_loss: 0.214  val_accuracy: 0.900  train_time: 66.78 s
[epoch 186]  train_loss: 0.234  val_accuracy: 0.908  train_time: 66.49 s
[epoch 187]  train_loss: 0.223  val_accuracy: 0.935  train_time: 66.43 s
[epoch 188]  train_loss: 0.215  val_accuracy: 0.912  train_time: 67.59 s
[epoch 189]  train_loss: 0.232  val_accuracy: 0.916  train_time: 66.20 s
[epoch 190]  train_loss: 0.228  val_accuracy: 0.920  train_time: 67.44 s
[epoch 191]  train_loss: 0.214  val_accuracy: 0.912  train_time: 66.71 s
[epoch 192]  train_loss: 0.232  val_accuracy: 0.912  train_time: 66.36 s
[epoch 193]  train_loss: 0.225  val_accuracy: 0.904  train_time: 66.59 s
[epoch 194]  train_loss: 0.212  val_accuracy: 0.923  train_time: 66.58 s
[epoch 195]  train_loss: 0.227  val_accuracy: 0.912  train_time: 66.94 s
[epoch 196]  train_loss: 0.213  val_accuracy: 0.904  train_time: 66.20 s
[epoch 197]  train_loss: 0.216  val_accuracy: 0.908  train_time: 66.16 s
[epoch 198]  train_loss: 0.217  val_accuracy: 0.923  train_time: 67.83 s
[epoch 199]  train_loss: 0.205  val_accuracy: 0.900  train_time: 66.73 s
[epoch 200]  train_loss: 0.208  val_accuracy: 0.920  train_time: 66.88 s
