[epoch 1]  train_loss: 1.061  val_accuracy: 0.854  train_time: 448.21 s
[epoch 2]  train_loss: 0.780  val_accuracy: 0.862  train_time: 455.52 s
[epoch 3]  train_loss: 0.731  val_accuracy: 0.789  train_time: 456.01 s
[epoch 4]  train_loss: 0.662  val_accuracy: 0.893  train_time: 452.58 s
[epoch 5]  train_loss: 0.647  val_accuracy: 0.874  train_time: 454.13 s
[epoch 6]  train_loss: 0.638  val_accuracy: 0.900  train_time: 452.40 s
[epoch 7]  train_loss: 0.596  val_accuracy: 0.900  train_time: 453.56 s
[epoch 8]  train_loss: 0.599  val_accuracy: 0.897  train_time: 453.31 s
[epoch 9]  train_loss: 0.597  val_accuracy: 0.885  train_time: 454.12 s
[epoch 10]  train_loss: 0.572  val_accuracy: 0.881  train_time: 453.89 s
[epoch 11]  train_loss: 0.532  val_accuracy: 0.893  train_time: 453.89 s
[epoch 12]  train_loss: 0.586  val_accuracy: 0.897  train_time: 452.72 s
[epoch 13]  train_loss: 0.564  val_accuracy: 0.897  train_time: 453.49 s
[epoch 14]  train_loss: 0.537  val_accuracy: 0.900  train_time: 453.33 s
[epoch 15]  train_loss: 0.536  val_accuracy: 0.889  train_time: 454.06 s
[epoch 16]  train_loss: 0.514  val_accuracy: 0.881  train_time: 452.71 s
[epoch 17]  train_loss: 0.499  val_accuracy: 0.916  train_time: 453.56 s
[epoch 18]  train_loss: 0.495  val_accuracy: 0.916  train_time: 454.55 s
[epoch 19]  train_loss: 0.512  val_accuracy: 0.912  train_time: 454.92 s
[epoch 20]  train_loss: 0.533  val_accuracy: 0.885  train_time: 452.02 s
[epoch 21]  train_loss: 0.525  val_accuracy: 0.843  train_time: 452.00 s
[epoch 22]  train_loss: 0.505  val_accuracy: 0.893  train_time: 452.81 s
[epoch 23]  train_loss: 0.508  val_accuracy: 0.870  train_time: 453.90 s
[epoch 24]  train_loss: 0.528  val_accuracy: 0.897  train_time: 452.99 s
[epoch 25]  train_loss: 0.482  val_accuracy: 0.908  train_time: 452.53 s
[epoch 26]  train_loss: 0.459  val_accuracy: 0.874  train_time: 453.90 s
[epoch 27]  train_loss: 0.474  val_accuracy: 0.912  train_time: 453.98 s
[epoch 28]  train_loss: 0.473  val_accuracy: 0.893  train_time: 453.03 s
[epoch 29]  train_loss: 0.474  val_accuracy: 0.912  train_time: 453.88 s
[epoch 30]  train_loss: 0.487  val_accuracy: 0.916  train_time: 452.55 s
