
[epoch 1]  train_loss: 1.258  val_accuracy: 0.715  train_time: 210.51 s
[epoch 2]  train_loss: 0.989  val_accuracy: 0.828  train_time: 205.63 s
[epoch 3]  train_loss: 0.871  val_accuracy: 0.849  train_time: 208.45 s
[epoch 4]  train_loss: 0.852  val_accuracy: 0.816  train_time: 208.57 s
[epoch 5]  train_loss: 0.820  val_accuracy: 0.844  train_time: 203.49 s
[epoch 6]  train_loss: 0.799  val_accuracy: 0.847  train_time: 202.54 s
[epoch 7]  train_loss: 0.791  val_accuracy: 0.875  train_time: 199.33 s
[epoch 8]  train_loss: 0.722  val_accuracy: 0.847  train_time: 204.83 s
[epoch 9]  train_loss: 0.702  val_accuracy: 0.875  train_time: 202.16 s
[epoch 10]  train_loss: 0.691  val_accuracy: 0.877  train_time: 200.05 s
[epoch 11]  train_loss: 0.683  val_accuracy: 0.896  train_time: 200.55 s
[epoch 12]  train_loss: 0.687  val_accuracy: 0.901  train_time: 199.29 s
[epoch 13]  train_loss: 0.667  val_accuracy: 0.887  train_time: 198.81 s
[epoch 14]  train_loss: 0.640  val_accuracy: 0.899  train_time: 198.96 s
[epoch 15]  train_loss: 0.672  val_accuracy: 0.882  train_time: 198.95 s
[epoch 16]  train_loss: 0.694  val_accuracy: 0.884  train_time: 203.23 s
[epoch 17]  train_loss: 0.621  val_accuracy: 0.868  train_time: 199.64 s
[epoch 18]  train_loss: 0.635  val_accuracy: 0.875  train_time: 200.02 s
[epoch 19]  train_loss: 0.625  val_accuracy: 0.873  train_time: 200.30 s
[epoch 20]  train_loss: 0.656  val_accuracy: 0.910  train_time: 200.98 s
[epoch 21]  train_loss: 0.615  val_accuracy: 0.896  train_time: 200.80 s
[epoch 22]  train_loss: 0.626  val_accuracy: 0.901  train_time: 204.78 s
[epoch 23]  train_loss: 0.604  val_accuracy: 0.880  train_time: 200.55 s
[epoch 24]  train_loss: 0.601  val_accuracy: 0.887  train_time: 200.90 s
[epoch 25]  train_loss: 0.642  val_accuracy: 0.889  train_time: 198.86 s
[epoch 26]  train_loss: 0.592  val_accuracy: 0.892  train_time: 199.07 s
[epoch 27]  train_loss: 0.599  val_accuracy: 0.896  train_time: 200.88 s
[epoch 28]  train_loss: 0.574  val_accuracy: 0.901  train_time: 200.05 s
[epoch 29]  train_loss: 0.575  val_accuracy: 0.828  train_time: 199.59 s
[epoch 30]  train_loss: 0.555  val_accuracy: 0.882  train_time: 202.78 s
